ぺ,pe,diacritics,https://upload.wikimedia.org/wikipedia/commons/6/6f/%E3%81%BA-bw.png,2
ぽ,po,diacritics,https://upload.wikimedia.org/wikipedia/commons/2/26/%E3%81%BD-bw.png,5
ま,ma,monographs,https://upload.wikimedia.org/wikipedia/commons/b/bf/%E3%81%BE-bw.png,3
み,mi,monographs,https://upload.wikimedia.org/wikipedia/commons/7/7f/%E3%81%BF-bw.png,2
む,mu,monographs,https://upload.wikimedia.org/wikipedia/commons/4/49/%E3%82%80-bw.png,3
め,me,monographs,https://upload.wikimedia.org/wikipedia/commons/d/db/%E3%82%81-bw.png,2
も,mo,monographs,https://upload.wikimedia.org/wikipedia/commons/6/66/%E3%82%82-bw.png,3
や,ya,monographs,https://upload.wikimedia.org/wikipedia/commons/f/fb/%E3%82%84-bw.png,3
ゆ,yu,monographs,https://upload.wikimedia.org/wikipedia/commons/9/92/%E3%82%86-bw.png,2
よ,yo,monographs,https://upload.wikimedia.org/wikipedia/commons/7/7e/%E3%82%88-bw.png,2
ら,ra,monographs,https://upload.wikimedia.org/wikipedia/commons/6/6d/%E3%82%89-bw.png,2
り,ri,monographs,https://upload.wikimedia.org/wikipedia/commons/d/d1/%E3%82%8A-bw.png,2
る,ru,monographs,https://upload.wikimedia.org/wikipedia/commons/7/73/%E3%82%8B-bw.png,1
れ,re,monographs,https://upload.wikimedia.org/wikipedia/commons/0/0a/%E3%82%8C-bw.png,2
ろ,ro,monographs,https://upload.wikimedia.org/wikipedia/commons/9/9c/%E3%82%8D-bw.png,1
わ,wa,monographs,https://upload.wikimedia.org/wikipedia/commons/6/66/%E3%82%8F-bw.png,2
を,wo,monographs,https://upload.wikimedia.org/wikipedia/commons/6/69/%E3%82%92-bw.png,3
ん,n,monographs,https://upload.wikimedia.org/wikipedia/commons/0/0e/%E3%82%93-bw.png,1
きゃ,kya,diagraphs,https://a1.marugotoweb.jp/en/assets/images/hiragana/form/kya.png,6
きゅ,kyu,diagraphs,https://a1.marugotoweb.jp/en/assets/images/hiragana/form/kyu.png,5
きょ,kyo,diagraphs,https://a1.marugotoweb.jp/en/assets/images/hiragana/form/kyo.png,5
しゃ,sha,diagraphs,https://a1.marugotoweb.jp/en/assets/images/hiragana/form/sha.png,4
しゅ,shu,diagraphs,https://a1.marugotoweb.jp/en/assets/images/hiragana/form/shu.png,3
しょ,sho,diagraphs,https://a1.marugotoweb.jp/en/assets/images/hiragana/form/sho.png,3
ちゃ,cha,diagraphs,https://a1.marugotoweb.jp/en/assets/images/hiragana/form/cha.png,5
