一,JLPT N5,Grade 1,https://upload.wikimedia.org/wikipedia/commons/7/7c/%E4%B8%80-order.gif,1,2,one:one radical (no.1),ひと:ひとつ,イチ:イツ
色,JLPT N4,Grade 2,https://upload.wikimedia.org/wikipedia/commons/b/be/%E8%89%B2-order.gif,6,621,color,いろ,ショク:シキ
恋,JLPT N2,Grade S,http://bishun.strokeorder.info/characters/123412.gif,10,1296,romance:in love:yearn for:miss:darling,こう:こい:こいし,レン
愛,JLPT N3,Grade 4,http://bishun.strokeorder.info/characters/658739.gif,13,640,love:affection:favourite,いとしい:かなしい:めでる:おしむ:まな,アイ
