プ,pu,diacritics,https://upload.wikimedia.org/wikipedia/commons/5/52/%E3%83%97-bw.png,2
ペ,pe,diacritics,https://upload.wikimedia.org/wikipedia/commons/3/3f/%E3%83%9A-bw.png,2
ポ,po,diacritics,https://upload.wikimedia.org/wikipedia/commons/9/9a/%E3%83%9D-bw.png,5
マ,ma,monographs,https://upload.wikimedia.org/wikipedia/commons/3/3d/%E3%83%9E-bw.png,2
ミ,mi,monographs,https://upload.wikimedia.org/wikipedia/commons/7/77/%E3%83%9F-bw.png,3
ム,mu,monographs,https://upload.wikimedia.org/wikipedia/commons/1/1b/%E3%83%A0-bw.png,2
メ,me,monographs,https://upload.wikimedia.org/wikipedia/commons/a/a1/%E3%83%A1-bw.png,2
モ,mo,monographs,https://upload.wikimedia.org/wikipedia/commons/5/52/%E3%83%A2-bw.png,3
ヤ,ya,monographs,https://upload.wikimedia.org/wikipedia/commons/9/98/%E3%83%A4-bw.png,2
ユ,yu,monographs,https://upload.wikimedia.org/wikipedia/commons/b/b6/%E3%83%A6-bw.png,2
ヨ,yo,monographs,https://upload.wikimedia.org/wikipedia/commons/9/96/%E3%83%A8-bw.png,3
ラ,ra,monographs,https://upload.wikimedia.org/wikipedia/commons/e/e7/%E3%83%A9-bw.png,2
リ,ri,monographs,https://upload.wikimedia.org/wikipedia/commons/3/3d/%E3%83%AA-bw.png,2
ル,ru,monographs,https://upload.wikimedia.org/wikipedia/commons/e/e1/%E3%83%AB-bw.png,2
レ,re,monographs,https://upload.wikimedia.org/wikipedia/commons/f/f1/%E3%83%AC-bw.png,1
ロ,ro,monographs,https://upload.wikimedia.org/wikipedia/commons/0/08/%E3%83%AD-bw.png,3
ワ,wa,monographs,https://upload.wikimedia.org/wikipedia/commons/c/c3/%E3%83%AF-bw.png,2
ヲ,wo,monographs,https://upload.wikimedia.org/wikipedia/commons/2/2b/%E3%83%B2-bw.png,3
ン,n,monographs,https://upload.wikimedia.org/wikipedia/commons/4/46/%E3%83%B3-bw.png,2
キャ,kya,diagraphs,https://a1.marugotoweb.jp/en/assets/images/katakana/form/kya.png,5
キュ,kyu,diagraphs,https://a1.marugotoweb.jp/en/assets/images/katakana/form/kyu.png,5
キョ,kyo,diagraphs,https://a1.marugotoweb.jp/en/assets/images/katakana/form/kyo.png,6
シャ,sha,diagraphs,https://a1.marugotoweb.jp/en/assets/images/katakana/form/sha.png,5
